iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
LBY,2018,2.9223188657747396
LCA,2018,33.78015339789497
LIE,2018,6.535024898181424
LKA,2018,13160.938077798131
LSO,2018,7.722137710043402
LTU,2018,19749.622186166594
LUX,2018,457.78229968365855
LVA,2018,46923.47807397617
MAC,2018,0.8568299275054253
MAR,2018,2078.081118424953
MDA,2018,861.5862956469098
MDG,2018,366619.93619631056
MEX,2018,267150.7210744853
MKD,2018,1542.931312803364
MLI,2018,298.7991857720194
MMR,2018,278708.79704301734
MNE,2018,1652.2427907394797
MNG,2018,9224.636599563542
MOZ,2018,172397.98182822112
MRT,2018,0.0
MSR,2018,9.442805370199649
MTQ,2018,51.240248171454
MWI,2018,15487.128009125476
MYS,2018,437984.51802192646
MYT,2018,72.58350490233128
NAM,2018,7.933151081037333
NCL,2018,3069.441071843649
NGA,2018,119822.45678833692
NIC,2018,71374.94319401974
NLD,2018,1271.22854119887
NOR,2018,59219.62514172436
NPL,2018,1672.1166105124612
NZL,2018,79228.4005683605
PAK,2018,75.56168923288516
PAN,2018,27960.872489813577
PER,2018,211726.0288916184
PHL,2018,70533.57132282293
PLW,2018,3.8912661920282665
PNG,2018,117935.02736154832
POL,2018,96845.84624405165
PRI,2018,1227.879927868766
PRK,2018,7691.718377830073
PRT,2018,97436.8977953596
PRY,2018,258779.6618091868
PSE,2018,2.0276876452354604
ROU,2018,18974.177551254645
RUS,2018,5560430.925395683
RWA,2018,4290.998467040876
SDN,2018,16.115762821757816
SEN,2018,300.9440967649576
SGP,2018,289.02683051019665
SLB,2018,17825.008563342457
SLE,2018,188217.43912998683
SLV,2018,2703.6464456855974
SMR,2018,0.22314501609375
SOM,2018,43.96594224073671
SPM,2018,0.2122785036935763
SRB,2018,3966.438140767206
SSD,2018,2640.9380529087643
SUR,2018,19000.90114784526
SVK,2018,17698.550916022617
SVN,2018,8236.427724768906
SWE,2018,290151.4135010396
SWZ,2018,1919.9187873620335
SYR,2018,903.4288938592664
TCA,2018,36.129551686618925
TCD,2018,6931.783337327733
TGO,2018,6783.649723290039
THA,2018,133532.5810415836
TJK,2018,0.1800544646527778
TLS,2018,1243.5989108465133
TTO,2018,947.2395620293352
TUN,2018,902.6703475805916
TUR,2018,35668.33083989895
TWN,2018,1901.4503754369043
TZA,2018,171708.21639600626
UGA,2018,86229.84192432962
UKR,2018,74423.43169641624
URY,2018,19527.970310041543
USA,2018,2092359.4724431727
UZB,2018,0.4661042540733507
VCT,2018,17.012077244037037
VEN,2018,112107.31767694316
VGB,2018,6.212367641076389
VIR,2018,45.392000204792744
VNM,2018,225154.8913166269
VUT,2018,1031.3503353951903
XAD,2018,0.8263686982552083
XCA,2018,0.4361545908680556
XKO,2018,593.8940511940533
XNC,2018,17.55400599597873
ZAF,2018,63666.75379640914
ZMB,2018,143944.2280705229
ZWE,2018,6557.176512573257
AFG,2019,17.115066758144533
AGO,2019,175098.37018363233
ALA,2019,2361.2895761500095
ALB,2019,1074.1446107884767
AND,2019,8.039982792960068
ARG,2019,145444.27078467977
ARM,2019,0.7064275936219618
ATG,2019,23.41031010710397
AUS,2019,1661547.6033871556
AUT,2019,33642.43079561187
AZE,2019,11.949763429166667
BDI,2019,2386.3299282645394
BEL,2019,5577.118212720532
BEN,2019,774.9856744760264
BES,2019,1.5425652265896272
BFA,2019,0.0
BGD,2019,22078.75978651096
BGR,2019,4125.248047772258
BHS,2019,1557.7735632931383
BIH,2019,1232.2103970554444
BLR,2019,75048.52508074063
BLZ,2019,18372.63610051852
BOL,2019,852089.8685028125
BRA,2019,2696748.7992548263
BRB,2019,53.663388493309014
BRN,2019,1168.534272882124
BTN,2019,819.5852354394434
BWA,2019,0.0721906673253038
CAF,2019,49026.38682283113
CAN,2019,2175715.827192218
CHE,2019,3518.709265741343
CHL,2019,78735.46830367435
CHN,2019,496972.43539861456
CIV,2019,242171.27924668213
CMR,2019,121800.96870431768
COD,2019,1220177.4527968871
COG,2019,73758.07856393694
COL,2019,268409.88136648946
COM,2019,280.49728503887206
CPV,2019,0.0743353829654948
CRI,2019,11485.677126173472
CUB,2019,7463.6083905738915
CUW,2019,2.1818032075661886
CYM,2019,10.760367297912328
CYP,2019,43.45628981809462
CZE,2019,73295.19926394413
DEU,2019,108232.51080714707
DMA,2019,58.70914486738767
DNK,2019,9180.33362716724
DOM,2019,14930.838186081925
DZA,2019,6291.288201750728
ECU,2019,35645.826871169054
EGY,2019,20.90405680939561
ESP,2019,71021.86482833137
EST,2019,45916.924331137925
ETH,2019,25582.398386151657
FIN,2019,289910.39897583047
FJI,2019,1455.8404792845736
FRA,2019,81304.16863515151
GAB,2019,28561.018824317533
GBR,2019,28376.643735602785
GEO,2019,166.18634399653217
GGY,2019,0.1504105625520833
GHA,2019,88256.57865966979
GIN,2019,193690.00896904193
GLP,2019,70.26019322572591
GMB,2019,20.08557126249132
GNB,2019,15622.803687886531
GNQ,2019,9526.171885105408
GRC,2019,7604.301812483616
GRD,2019,21.062977143143993
GTM,2019,90198.05534363468
GUF,2019,3297.925825791978
GUY,2019,22324.42422152988
HKG,2019,24.57831573578668
HND,2019,81416.23140407905
HRV,2019,5977.626809427684
HTI,2019,4395.440810626464
HUN,2019,14397.954788962696
IDN,2019,1176884.143702294
IMN,2019,19.70500851255643
IND,2019,121154.43715050587
IRL,2019,10370.413528595189
IRN,2019,144.05646496422312
IRQ,2019,0.0620972139973958
ISR,2019,54.35792290111433
ITA,2019,59704.92032610425
JAM,2019,2292.155806098128
JOR,2019,0.5873644681976996
JPN,2019,51380.583208418546
KAZ,2019,1281.7255839891252
KEN,2019,15950.244924833272
KGZ,2019,15.72676642753038
KHM,2019,143306.85199863487
KNA,2019,8.903363911547311
KOR,2019,20731.599318139695
LAO,2019,364709.5483277709
LBN,2019,389.8077872965874
LBR,2019,171765.15983122244
LBY,2019,2.1443426418511287
LCA,2019,21.89532865355577
LIE,2019,11.544410222528208
LKA,2019,10306.91387645887
LSO,2019,10.209908339237195
LTU,2019,24565.247559067873
LUX,2019,509.1976551035873
LVA,2019,57402.97053760973
MAC,2019,2.7131347666655827
MAF,2019,0.5126036865505642
MAR,2019,1250.01748588565
MDA,2019,817.2113223030384
MDG,2019,254242.73728300468
MEX,2019,327437.78332858585
MKD,2019,1790.2390301112785
MLI,2019,210.75723679909072
MMR,2019,309418.1611194609
MNE,2019,647.0065665753016
MNG,2019,2815.4229695587046
MOZ,2019,235658.0519143073
MRT,2019,0.0
MSR,2019,4.646877653169488
MTQ,2019,60.54677782825304
MWI,2019,12134.422154001137
MYS,2019,395367.2182092159
MYT,2019,34.90639031589898
NAM,2019,1.893531251980252
NCL,2019,811.9701678484838
NGA,2019,86894.81903568226
NIC,2019,77848.283482264
NLD,2019,2481.3282374998207
NOR,2019,64784.05595490627
NPL,2019,2087.02899610764
NZL,2019,71430.70373761501
PAK,2019,81.24308458574656
PAN,2019,33993.58827529981
PER,2019,231257.3813194232
PHL,2019,64038.614961349085
PLW,2019,8.698362266296385
PNG,2019,95134.67482187429
POL,2019,76720.94128777205
PRI,2019,695.0211408795702
PRK,2019,27492.24071780823
PRT,2019,36885.7725042267
PRY,2019,314372.6880680738
PSE,2019,0.2624685463943142
ROU,2019,12265.85886491166
RUS,2019,3686557.0413906686
RWA,2019,2515.986112189697
SDN,2019,56.39586824043023
SEN,2019,277.64000257541977
SGP,2019,287.8738498075863
SLB,2019,16550.444648268727
SLE,2019,175466.68831212854
SLV,2019,2249.0091127046735
SMR,2019,0.501878941686198
SOM,2019,374.13892427585114
SPM,2019,0.3184201877387153
SRB,2019,3962.211902648627
SSD,2019,3753.592094086088
SUR,2019,18454.18881899937
SVK,2019,10330.871943857928
SVN,2019,3456.2120716735385
SWE,2019,332890.8871695677
SWZ,2019,4116.906026334115
SYC,2019,0.8351447150564237
SYR,2019,1176.5202747761423
TCA,2019,17.24336371313585
TCD,2019,5058.926738728641
TGO,2019,5230.015876782089
THA,2019,129794.03169619873
TJK,2019,0.0595659437912326
TLS,2019,1501.4698348771424
TTO,2019,658.3583421145911
TUN,2019,572.773010072308
TUR,2019,39117.93877014855
TWN,2019,1426.2742397039456
TZA,2019,142772.9924530332
UGA,2019,63267.764106670635
UKR,2019,45143.77581563438
URY,2019,14519.353917604785
USA,2019,2109918.2826289074
UZB,2019,17.638901515898436
VCT,2019,11.616930488927952
VEN,2019,140807.2201768503
VGB,2019,0.8769920894108073
VIR,2019,19.58205995306641
VNM,2019,216779.39610146033
VUT,2019,251.570341710835
XAD,2019,0.6993120858962674
XKO,2019,697.3994542825257
XNC,2019,12.56370780138672
ZAF,2019,76139.76106722641
ZMB,2019,124640.78101884048
ZWE,2019,11553.329511161155
AFG,2020,36.58230789240668
AGO,2020,248028.43177844412
AIA,2020,0.1463298560904948
ALA,2020,673.4887730702776
ALB,2020,1117.787388562392
AND,2020,27.494491986679684
ARG,2020,197379.02491541795
ARM,2020,18.542969163387593
ATG,2020,15.235993936174044
AUS,2020,2356516.287662322
AUT,2020,25936.51506640435
AZE,2020,22.77496149437284
BDI,2020,1856.851774590565
BEL,2020,5408.631203496722
BEN,2020,1605.5614207301203
BES,2020,9.697954706491972
BFA,2020,0.0
BGD,2020,21475.16881457316
BGR,2020,4795.0999525939
BHS,2020,2696.1784970824806
BIH,2020,1842.0711748481824
BLR,2020,68932.1249936564
BLZ,2020,26511.784486970148
BOL,2020,429780.29848051094
BRA,2020,3291391.786526117
BRB,2020,22.109708740157345
BRN,2020,1166.4275685076711
BTN,2020,1288.374487589531
BWA,2020,1.8152580918836807
CAF,2020,55136.67811784422
CAN,2020,1195271.7557688633
CHE,2020,3927.891163453767
CHL,2020,70591.90966233145
CHN,2020,422214.35280897614
CIV,2020,248501.7226020936
CMR,2020,202795.6686739493
COD,2020,1309975.508081176
COG,2020,64540.101622133065
COL,2020,324169.44048265886
COM,2020,265.5116203065324
CPV,2020,3.2697187532367615
CRI,2020,8260.967071026846
CUB,2020,12618.45341911081
CUW,2020,1.956127699825304
CYM,2020,8.577707460251732
CYP,2020,33.194790041499566
CZE,2020,100258.23550055572
DEU,2020,186939.6371939696
DMA,2020,65.61122506442003
DNK,2020,3193.5934822034146
DOM,2020,21441.16112523004
DZA,2020,13072.666601759738
ECU,2020,48915.08232123945
EGY,2020,18.13907616891276
ESP,2020,101988.1180994087
EST,2020,36805.36932206792
ETH,2020,17980.782343289007
FIN,2020,254472.5924187548
FJI,2020,2066.8320673826247
FRA,2020,77745.73713942208
GAB,2020,22022.273970859977
